Year,Country,Description,Deaths,ByTeslaCount,ByOtherPartyCount,ByUndeterminedCount,ByInanimateObjectCount,PedestrianInvolvedCount,MotorcycleInvolvedCount,AutoPilotOnCount
2021,USA,"Tesla loses control, hits railing and cut in half",2,0,1,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,0,1,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,0,0,1,0,1,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,0,0,1,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,1,0,0,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,0,0,1,0,0,0,0
2021,UK,"Pedestrian hit in collision, later dies in hospital weeks later",1,0,1,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,0,1,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,0,0,1,0,1,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
